Date,Description,Amount
2023-01-03,Starbucks Coffee,-4.25
2023-01-05,Trader Joe's Groceries,-85.75
2023-01-07,Netflix Subscription,-14.99
2023-01-10,Target Shopping,-65.32
2023-01-12,Biweekly Salary,1250.00
2023-01-15,Monthly Rent,-1100.00
2023-01-17,Uber Ride,-22.50
2023-01-19,Amazon Prime,-12.99
2023-01-20,Gas Station Fill-up,-42.75
2023-01-22,Chipotle Lunch,-12.45
2023-01-24,Electricity Bill,-78.52
2023-01-26,Biweekly Salary,1250.00
2023-01-27,Pharmacy Purchase,-35.47
2023-01-29,Movie Tickets,-32.00
2023-01-30,Grocery Shopping,-92.65
2023-02-01,Mobile Phone Bill,-85.99
2023-02-03,Starbucks Coffee,-4.75
2023-02-05,Home Depot Purchase,-124.87
2023-02-07,Gas Station Fill-up,-45.50
2023-02-09,Biweekly Salary,1250.00
2023-02-10,Dinner with Friends,-68.32
2023-02-12,Internet Bill,-65.00
2023-02-14,Valentine's Day Gift,-89.95
2023-02-15,Monthly Rent,-1100.00
2023-02-17,Grocery Shopping,-98.45
2023-02-19,Uber Ride,-18.75
2023-02-21,Coffee Shop,-5.25
2023-02-23,Biweekly Salary,1250.00
2023-02-25,Car Insurance,-105.50
2023-02-27,Amazon Purchase,-57.89
2023-03-01,Gym Membership,-49.99
2023-03-03,Grocery Shopping,-110.25
2023-03-05,Starbucks Coffee,-4.25
2023-03-07,Gas Station Fill-up,-48.25
2023-03-09,Biweekly Salary,1250.00
2023-03-10,Dinner Date,-85.75
2023-03-12,Water Bill,-45.50
2023-03-14,Online Course,-199.99
2023-03-15,Monthly Rent,-1100.00
2023-03-17,Grocery Shopping,-115.32
2023-03-19,Netflix Subscription,-14.99
2023-03-21,Dentist Appointment,-150.00
2023-03-23,Biweekly Salary,1250.00
2023-03-25,New Laptop,-899.99
2023-03-27,Clothing Shopping,-125.45
2023-03-29,Gas Station Fill-up,-47.50
2023-03-31,Dinner with Family,-95.25
2023-04-02,Mobile Phone Bill,-85.99
2023-04-04,Grocery Shopping,-102.75
2023-04-06,Coffee Shop,-5.50
2023-04-08,Biweekly Salary,1275.00
2023-04-10,Concert Tickets,-120.00
2023-04-12,Car Maintenance,-210.45
2023-04-14,Amazon Purchase,-75.32
2023-04-15,Monthly Rent,-1100.00
2023-04-17,Internet Bill,-65.00
2023-04-19,Grocery Shopping,-95.45
2023-04-21,Gas Station Fill-up,-49.75
2023-04-22,Biweekly Salary,1275.00
2023-04-24,Restaurant Dinner,-72.50
2023-04-26,Pharmacy Purchase,-42.15
2023-04-28,Uber Ride,-24.75
2023-04-30,Home Improvement,-165.99
2023-05-02,Gym Membership,-49.99
2023-05-04,Grocery Shopping,-108.45
2023-05-06,Biweekly Salary,1275.00
2023-05-08,Gas Station Fill-up,-51.25
2023-05-10,Mother's Day Gift,-78.99
2023-05-12,Utility Bill,-110.25
2023-05-14,Coffee Shop,-4.75
2023-05-15,Monthly Rent,-1100.00
2023-05-17,Grocery Shopping,-94.50
2023-05-19,New Shoes,-89.99
2023-05-20,Biweekly Salary,1275.00
2023-05-22,Dinner with Friends,-85.25
2023-05-24,Mobile Phone Bill,-85.99
2023-05-26,Movie Tickets,-28.50
2023-05-28,Gas Station Fill-up,-52.75
2023-05-30,Online Subscription,-9.99
2023-06-01,Grocery Shopping,-115.75
2023-06-03,Biweekly Salary,1275.00
2023-06-05,Internet Bill,-65.00
2023-06-07,Birthday Gift,-65.50
2023-06-09,Coffee Shop,-5.25
2023-06-11,Clothing Shopping,-145.99
2023-06-13,Car Insurance,-105.50
2023-06-15,Monthly Rent,-1100.00
2023-06-17,Biweekly Salary,1275.00
2023-06-19,Grocery Shopping,-98.75
2023-06-21,Gas Station Fill-up,-54.25
2023-06-23,Dentist Appointment,-75.00
2023-06-25,Restaurant Dinner,-92.50
2023-06-27,Home Decor,-125.45
2023-06-29,Pharmacy Purchase,-32.99
2023-06-30,Vacation Hotel,-450.00
